Name,M,N,AvgTime,TotalRun,NonZeroPerRow,NonZeroElements,Bandwidth,Flops,Partition,ValueType
syn10K20K4_1,10000,20000,  0.044686,1000,4.000000,40000,20.588319,1.790281,416,8
syn20K40K4_0,20000,40000,  0.048049,1000,4.000000,80000,38.294586,3.329957,416,8
syn20K40K4_1,20000,40000,  0.047424,1000,4.000000,80000,38.799005,3.373819,416,8
syn30K60K4_1,30000,60000,  0.055972,1000,4.000000,120000,49.310555,4.287868,416,8
syn30K60K4_0,30000,60000,  0.056314,1000,4.000000,120000,49.010822,4.261804,416,8
syn50K100K4_0,50000,100000,  0.071679,1000,4.000000,200000,64.175139,5.580442,416,8
syn50K100K4_1,50000,100000,  0.071538,1000,4.000000,200000,64.301476,5.591428,416,8
syn60K120K4_1,60000,120000,  0.101317,1000,4.000000,240000,54.482271,4.737585,416,8
syn60K120K4_0,60000,120000,  0.101876,1000,4.000000,240000,54.183642,4.711618,416,8
syn80K160K4_0,80000,160000,  0.157523,1000,4.000000,320000,46.723254,4.062889,416,8
syn80K160K4_1,80000,160000,  0.173686,1000,4.000000,320000,42.375254,3.684803,416,8
syn120K240K4_0,120000,240000,  0.261381,1000,4.000000,480000,42.237247,3.672803,416,8
syn120K240K4_1,120000,240000,  0.267897,1000,4.000000,480000,41.209835,3.583463,416,8
syn160K320K4_0,160000,320000,  0.345807,1000,4.000000,640000,42.567130,3.701489,416,8
syn160K320K4_1,160000,320000,  0.345235,1000,4.000000,640000,42.637611,3.707617,416,8
syn180K360K4_1,180000,360000,  0.387670,1000,4.000000,720000,42.716739,3.714498,416,8
syn180K360K4_0,180000,360000,  0.387879,1000,4.000000,720000,42.693707,3.712495,416,8
syn300K600K4_1,300000,600000,  0.718743,1000,4.000000,1200000,38.400381,3.339163,416,8
syn300K600K4_0,300000,600000,  0.833244,1000,4.000000,1200000,33.123557,2.880309,416,8
syn350K700K4_0,350000,700000,  0.850840,1000,4.000000,1400000,37.844976,3.290867,416,8
syn350K700K4_1,350000,700000,  0.946024,1000,4.000000,1400000,34.037192,2.959755,416,8
syn400K800K4_0,400000,800000,  0.997188,1000,4.000000,1600000,36.903760,3.209022,416,8
syn400K800K4_1,400000,800000,  0.997343,1000,4.000000,1600000,36.898030,3.208524,416,8
syn450K900K4_1,450000,900000,  1.137457,1000,4.000000,1800000,36.396995,3.164956,416,8
syn450K900K4_0,450000,900000,  1.137431,1000,4.000000,1800000,36.397819,3.165027,416,8
syn500K1M1_0,500000,1000000,  0.636590,1000,1.000000,500000,25.133924,1.570870,416,8
syn500K1M1_1,500000,1000000,  0.636385,1000,1.000000,500000,25.142026,1.571376,416,8
syn500K1M3_0,500000,1000000,  1.082070,1000,3.000000,1500000,33.269572,2.772464,416,8
syn500K1M3_1,500000,1000000,  1.081911,1000,3.000000,1500000,33.274463,2.772872,416,8
syn500K1M4_1,500000,1000000,  1.284040,1000,4.000000,2000000,35.824428,3.115167,416,8
syn500K1M4_0,500000,1000000,  1.284770,1000,4.000000,2000000,35.804080,3.113398,416,8
syn500K1M7_0,500000,1000000,  1.868757,1000,7.000000,3500000,40.668736,3.745804,416,8
syn500K1M7_1,500000,1000000,  1.868629,1000,7.000000,3500000,40.671542,3.746063,416,8
syn500K1M9_1,500000,1000000,  2.325671,1000,9.000000,4500000,41.278409,3.869851,416,8
syn500K1M9_0,500000,1000000,  2.334255,1000,9.000000,4500000,41.126620,3.855620,416,8
syn500K1M15_1,500000,1000000,  3.380962,1000,15.000000,7500000,46.140709,4.436607,416,8
syn500K1M15_0,500000,1000000,  3.382824,1000,15.000000,7500000,46.115318,4.434165,416,8
syn500K1M20_1,500000,1000000,  4.488033,1000,20.000000,10000000,45.899845,4.456296,416,8
syn500K1M20_0,500000,1000000,  4.489010,1000,20.000000,10000000,45.889849,4.455325,416,8
syn500K1M25_0,500000,1000000,  5.600549,1000,25.000000,12500000,45.709807,4.463848,416,8
syn500K1M25_1,500000,1000000,  5.600178,1000,25.000000,12500000,45.712836,4.464144,416,8
syn500K1M30_0,500000,1000000,  6.711370,1000,30.000000,15000000,45.594271,4.470026,416,8
syn500K1M30_1,500000,1000000,  6.725918,1000,30.000000,15000000,45.495646,4.460357,416,8
syn500K1M40_0,500000,1000000,  8.883150,1000,40.000000,20000000,45.704506,4.502907,416,8
syn500K1M40_1,500000,1000000,  8.882437,1000,40.000000,20000000,45.708180,4.503269,416,8
syn500K1M45_1,500000,1000000, 10.007443,1000,45.000000,22500000,45.566084,4.496653,416,8
syn500K1M45_0,500000,1000000, 10.010829,1000,45.000000,22500000,45.550673,4.495132,416,8
syn500K1M60_0,500000,1000000, 13.320374,1000,60.000000,30000000,45.494218,4.504378,416,8
